,page,nick,area,ip,time,content,agree,usertype
511,57,赤霞猪,广东广州,120.239.73.187,2018-08-08 15:56:44,社会进步了，我们生活很幸福[doge],1,wb
512,57,Granzon1922,北京,223.223.184.146,2018-08-08 15:56:33,常规操作,0,wb
513,57,shasha_ss,陕西铜川,218.200.34.62,2018-08-08 15:56:24,贷款产生存款，不懂吗？,0,wb
514,57,HEI嘿HEI嘿HEI,广东惠州,223.104.65.6,2018-08-08 15:56:20,我就是不想买房怎么了？说得好像买得起一样……,0,wb
515,57,Zouave,云南昆明,117.136.85.14,2018-08-08 15:54:11,哈哈[doge] [good][good][good],0,wb
516,57,5cm的朴小特,重庆,111.10.127.136,2018-08-08 15:52:42,这篇文章真的很搞笑 买不起房子难道就不能去喝喝星巴克[允悲],0,wb
517,57,C加Y加V,广东广州,117.136.40.167,2018-08-08 15:49:35,不想想这个所谓的“庞大债务”中金额占比最大的就是房地产[摊手],0,wb
518,57,Doubleview,上海,101.90.126.208,2018-08-08 15:48:26,把年轻人希望都搞没了，还反咬一口，说是年轻人把中国带向了黑暗。真tm不要脸。,2,wb
519,57,彬彬之,江苏苏州,223.104.4.240,2018-08-08 15:47:55,这个锅～,0,wb
520,58,橘子猫妖2012,福建,220.249.162.95,2018-08-08 15:46:52,星巴克每天两杯的话，喝十年25万，手机平板一年一万，十年十万。十年不换手机不喝咖啡北上广就可以买一个不带浴室的厕所了耶[鼓掌]二线就可以买一个厨房了[二哈]好幸福吖！,12,wb
521,58,休文不与风月夜,澳大利亚,128.250.0.205,2018-08-08 15:46:23,对于大部分年轻人来说 努力工作也不能全靠自己买房 而且 “租房”过日子的思想也慢慢被人们接受[ok]人生苦短 还不让人开心开心吗（当然不鼓励过度消费 贷款买奢侈品）,0,wb
522,58,都灵的围脖,陕西西安,117.22.25.120,2018-08-08 15:46:14,这届韭菜不行,0,wb
523,58,老鼠M答案,广东深圳,112.97.61.48,2018-08-08 15:46:11,无语了,0,wb
524,58,爱丽丝王座,上海,223.104.212.218,2018-08-08 15:45:38,震惊，年轻人正逐步取代国家,0,wb
525,58,比目鱼80386,北京,210.12.222.174,2018-08-08 15:45:28,滚你mlgb的,0,wb
526,58,商山遗老涂,陕西商洛,113.200.207.69,2018-08-08 15:44:54,幸福了，姐,0,wb
527,58,徐飞宇cos,河北石家庄,124.236.219.110,2018-08-08 15:43:08,都这么有钱啊,0,wb
528,58,一纸苏,浙江,112.17.235.246,2018-08-08 15:43:08,初中课本上历史与社会，经常讲外国人按揭消费什么的，说中国保守传统，外国人提前消费活得快活潇洒什么的,0,wb
529,58,Eyeaun,福建福州,211.97.123.200,2018-08-08 15:42:37,[doge] 草民知错,1,wb
530,59,特果西的粉色耳返百鬼,辽宁锦州,42.248.179.119,2018-08-08 15:42:22,？？？我tm打死,0,wb
531,59,奥莉维亚的_秘密,北京,114.251.216.17,2018-08-08 15:42:12,中国最好的一代人是80后，只不过很多人因为私心都不愿意接受罢了，于是……中国的未来黄了！,0,palmnews
532,59,阿铭惹,山东聊城,39.70.118.32,2018-08-08 15:42:05,？？？说一句自私的话哦，生活是我们的，和国家没关系,0,wb
533,59,越挫越勇的小妮子,北京,223.104.3.135,2018-08-08 15:41:34,单身未婚女性买不起房摇不上号，嫁人还得看公婆脸色，生娃还要赌上工作，我一人活着不好还是想早些气死？,1,wb
534,59,Me丶林焕然,江苏南京,49.65.123.112,2018-08-08 15:41:32,我话后半生的工资贷款买房就是对的咯？,1,wb
535,59,MR218109112_,浙江嘉兴,112.11.126.130,2018-08-08 15:41:31,报章 好熟悉的口音 🤔,0,wb
536,59,片翼clover浑身难瘦,北京海淀,121.69.81.74,2018-08-08 15:41:28,这不是英国人写的么[疑问],0,wb
537,59,SEUNGRI胜利-VI,江苏常州,121.231.8.39,2018-08-08 15:41:00,哈哈哈,0,wb
538,59,是迷糊阿姨,广东惠州,183.31.26.95,2018-08-08 15:40:33,哟~锅是这样甩的呀？,0,wb
539,59,红烧肉酱酱酱酱酱,江苏扬州,58.220.95.55,2018-08-08 15:39:42,可不是！当时老说什么老外用贷款，住了一辈子自己的房，中国存钱，活了一辈子老了终于住上了自己买的房。现在呢，活了一辈子买不起，连贷款都不让了,2,wb
540,60,林帆啊林帆,湖北武汉,117.136.53.216,2018-08-08 15:39:00,反正年轻人不买房接盘就是辣鸡？？？？,0,wb
541,60,梁胖噢,广东广州,157.122.65.21,2018-08-08 15:35:19,住房教育医疗 我就不信这三个能有任何一项低得过生活消费,0,wb
542,60,雾都花火,广东广州,112.96.198.2,2018-08-08 15:35:10,引进非洲人可以救国,4,wb
543,60,王xi东,新疆乌鲁木齐,117.136.26.164,2018-08-08 15:33:02,气死了，我要说脏话了,0,wb
544,60,塑料袋装面包,四川,223.104.216.23,2018-08-08 15:32:41,我没去过星巴克[泪],0,wb
545,60,甘甘松月,浙江台州,122.226.183.127,2018-08-08 15:31:41,人在书前坐，锅从天上来,0,wb
546,60,好人一生平安5181,广东东莞,14.24.63.36,2018-08-08 15:31:26,不是借贷人的问题，亚根中国就不要允许私人借贷平台的存在国家才能健康的发展，一经发现私人放贷国家没收其全部资产看还有无如此现象发生。一句话管现不严。,0,palmnews
547,60,杰克不近视戴眼镜只是为了装逼,上海,223.104.5.235,2018-08-08 15:31:04,人在家中坐，锅从天上来,0,wb
548,60,来自四月的阳光,江苏常州,117.136.66.57,2018-08-08 15:31:01,人在工地晒，锅从天上来,1,wb
549,60,ugmbbc,北京海淀,10.75.12.127,2018-08-08 15:30:12,我思想政治老师以前在课堂上讲过美国老太太的故事。,0,wb
550,62,rouroudun,北京,114.248.72.239,2018-08-08 15:17:02,网友说新浪是卖锅的[笑cry],0,wb
551,62,你哼哼我哈哈,山东淄博,218.201.170.99,2018-08-08 15:16:42,太有画面感了,0,wb
552,62,树下布恩迪亚,陕西西安,36.46.28.62,2018-08-08 15:16:14,帝国主义的锅 凭什么让我背,0,wb
553,62,郭晓婷是怪咖,福建泉州,61.154.121.2,2018-08-08 15:15:48,除了mmp也不知道该说什么了,0,wb
554,62,让形而上学吧_493,江苏无锡,49.80.203.17,2018-08-08 15:15:36,带领中国步入危机的是谁大家都知道，年轻人？他们有那能量吗？！,3,palmnews
555,62,tktkpop,浙江杭州,115.200.168.32,2018-08-08 15:15:12,烦不烦啊，就知道把锅甩给我们年轻人,2,wb
556,62,shn48-李富贵,湖北恩施土家族苗族自治州,183.95.2.235,2018-08-08 15:15:06,这真的是很讽刺了。。,1,wb
557,62,MegaJayChew,江苏盐城,223.104.147.106,2018-08-08 15:14:53,攀比风真是越刮越大,0,wb
558,62,姚韭韭,澳大利亚,120.21.37.206,2018-08-08 15:14:00,我一直以为博主是大学生,0,wb
559,62,猫瞳子,福建福州,106.122.6.9,2018-08-08 15:13:57,这年头谁还在星巴克自拍？,8,wb
560,63,一个普通军迷的坚持,上海,223.104.213.77,2018-08-08 15:13:04,储蓄是个好习惯,0,wb
561,63,脑洞深渊里的麦哥,江苏苏州,180.97.201.6,2018-08-08 15:12:35,出国了还能说你资产转移呢[摊手],0,wb
562,63,冰川_小龙,北京,124.64.16.50,2018-08-08 15:12:25,舆论掌握在🐶嘴里,1,wb
563,63,吳钩之铓,河南南阳,218.29.37.251,2018-08-08 15:12:18,怎么能查美国住户的水表？,0,wb
564,63,有疾君,河北廊坊,124.239.251.65,2018-08-08 15:12:18,你怎么才40岁,0,wb
565,63,Q的一些事一些情,广东广州,117.136.40.150,2018-08-08 15:12:07,这世界终究是他们的,0,wb
566,63,AgentRosssss,上海,180.175.177.164,2018-08-08 15:12:02,娘昨天还说我们这一代没有远大志向。,0,wb
567,63,反重力羊,四川,223.104.216.186,2018-08-08 15:12:00,对不起我的国，贷款买房我有罪。,0,wb
568,63,表白每一天,北京,106.120.30.138,2018-08-08 15:11:34,哈哈哈哈,0,wb
569,63,浮生适意,安徽六安,36.56.223.100,2018-08-08 15:11:34,天天喝稀粥买房才对嘛？,2,wb
570,64,那年那个我,云南昆明,116.249.142.118,2018-08-08 15:11:28,真正的危机在于年轻人创造的价值不断被资本市场稀释，房地产就是最好的例子，年轻人将要付出更大的代价获得生存空间,2,wb
571,64,YMM客源_f35,河南漯河,115.48.91.160,2018-08-08 15:10:45, 喜欢的呢，真好,0,wb
572,64,Forever情人草,山东德州,58.56.241.198,2018-08-08 15:10:32,我日，这锅是硬砸在头上了,1,pc
573,64,拖地就是Jones,甘肃兰州,117.157.101.15,2018-08-08 15:10:15,为什么要借贷消费，有多大锅下多大的米,0,wb
574,64,风雨下_潮涨,安徽合肥,183.160.250.189,2018-08-08 15:10:09,活久见系列,1,wb
575,64,穆宁R,澳大利亚,128.250.0.218,2018-08-08 15:09:41,一边怪我们啃老，一边让我们买房，首付靠分配吗？,1,wb
576,64,失去爱情的篮球手,湖南长沙,175.0.98.220,2018-08-08 15:06:04,按耐住自己一颗一心追求AJ的心 ,0,wb
577,64,猫奴癌晚期摩杰西,重庆,219.153.176.26,2018-08-08 15:05:39,看评论笑死了@间切雾,0,wb
578,64,瓷娃娃猫依,湖北咸宁,113.56.20.43,2018-08-08 15:05:32,中国什么时候靠年轻人带领了…,0,wb
579,64,Ex潮鞋铺_,辽宁沈阳,101.246.184.220,2018-08-08 15:05:08,90后已经不在年轻了  而且90觉得比老一辈真的强多了  认真刻苦钻研玩乐 没有80的软弱 没有00的稚气,1,wb
580,65,阿倾今天加班了吗,河南郑州,115.60.19.194,2018-08-08 15:05:03,反正房子住父母的也没什么不好（。）,0,wb
581,65,____ORANGE橙,吉林,139.214.254.167,2018-08-08 15:04:13,哇真是不要脸，关注了来骂，我自己挣的钱我怎么花你还想管管？能不能多想想怎么完善下政策法律，在这每天怪这个怪那个甩锅,1,wb
582,65,不止·柒,河南,223.104.108.143,2018-08-08 15:04:01,好害怕噢，一棒子想打死全中国的年轻人呢,0,wb
583,65,没头脑的小李,安徽合肥,220.180.50.143,2018-08-08 15:03:45,怎么能这么说！你还是不是中国人,0,wb
584,65,不瘦到70kg不改名的ZuoRio_,河北衡水,106.119.47.85,2018-08-08 15:03:31,借用宫阁的歌词，不过是犯了错，我们都是承担的一代[摊手],0,wb
585,65,Antares1906,浙江嘉兴,61.153.50.74,2018-08-08 15:03:28,感感觉遭受到了降智打击,0,wb
586,65,空中飞奔的鱼,北京,61.148.243.247,2018-08-08 15:03:20,要不要脸,0,wb
587,65,大白5591553114,河南郑州,223.88.58.94,2018-08-08 15:03:00,呵呵,0,wb
588,65,彭于晏亲女友,浙江杭州,60.177.108.238,2018-08-08 15:02:58,我就算不喝星巴克 我也买不起房啊  这怪我们消费吗 怎么不怪炒房的??,0,wb
589,65,迷路的雪候鸟,江苏苏州,223.104.145.107,2018-08-08 15:01:37,前几天还看到有媒体说，年轻人消费力不足，因为都在还房贷，怎么这又说不买房乱花钱？[允悲][笑cry][笑而不语],2,wb
590,66,氵可蟹不知肉滋味,湖北武汉,115.191.253.180,2018-08-08 15:01:26,我都没看到机会，怎么走向危机。,0,pc
591,66,墨池微沫,广东深圳,113.89.6.247,2018-08-08 14:58:20,啊，以后不买房就会被判刑吗？,1,wb
592,66,荼宝宝的康复路,广东深圳,61.141.65.138,2018-08-08 14:57:42,不生人口老龄化严重,0,wb
593,66,用户647846478434381,北京,223.104.3.195,2018-08-08 14:57:28,对不起，带不动[拜拜],0,wb
594,66,Natsu_IRO,辽宁抚顺,182.204.171.145,2018-08-08 14:56:45,攒着买手机和星巴克的钱就能买房了还是咋滴？,4,wb
595,66,单手婕拉,山东德州,58.56.241.198,2018-08-08 14:55:17,对啊，怪我们年轻人干什么？,0,pc
596,66,斌哥居然,江苏南京,49.95.134.174,2018-08-08 14:54:12,能全款买房的话，谁也不想贷款买啊,0,wb
597,66,KobeYesForever8,湖北武汉,113.57.244.149,2018-08-08 14:53:50,哈哈哈哈哈哈哈哈对啊 我们是老年人,0,wb
598,66,火星的小蘑菇,江苏,223.104.146.149,2018-08-08 14:53:46,搞笑的舆论,0,wb
599,66,火星的小蘑菇,江苏,223.104.146.149,2018-08-08 14:53:41,没错,0,wb
600,67,芝士饼干夹心脆,福建福州,117.27.245.186,2018-08-08 14:51:52,天将一口大锅[费解],0,wb
601,67,我是皮皮喜,广东广州,112.96.100.78,2018-08-08 14:51:26,人在家中坐，锅从天上来,2,wb
602,67,雁回秦始,广东,223.104.63.197,2018-08-08 14:47:56,过来接锅，@帕丁森爱德华,0,wb
603,67,阿光要努力变强,河北廊坊,183.197.149.25,2018-08-08 14:47:32,放你妈的屁,0,wb
604,67,董敬源_,吉林,139.214.251.55,2018-08-08 14:46:41,哈哈哈哈哈哈哈哈哈哈哈哈哈,0,wb
605,67,赵小懒zmy,北京,123.114.187.88,2018-08-08 14:45:48,好像国外年轻人都省吃俭用买房了一样,0,wb
606,67,Charloooooo_,广东广州,218.107.55.254,2018-08-08 14:45:13,本届韭菜不好骗，必将他们批倒批臭,0,wb
607,67,法斯plus,江西南昌,59.52.71.32,2018-08-08 14:44:58,嘿呀，就很气,0,wb
608,67,我的浅浅啊,广东广州,119.131.90.67,2018-08-08 14:44:55,不结婚不生孩子你能咬我啊,0,wb
609,67,Bigman1116,上海,180.175.178.28,2018-08-08 14:44:45,年轻人不该背这锅吧。中国谁是领路人找谁呗,1,wb
610,68,ICUER-,河北保定,110.229.26.201,2018-08-08 14:44:23,别担心别担心 地方政府债务危机比咱们欠的这点儿蚂蚁花呗多多了😂😂,1,wb
611,68,瞻Ace,内蒙古呼和浩特,220.195.67.93,2018-08-08 14:44:23,美国老太太,0,wb
612,68,廖奕帆1948,四川成都,60.255.160.36,2018-08-08 14:43:17,一分钱不用看谁能气死谁,0,wb
613,68,kankankankanrenao,江苏南京,36.149.128.161,2018-08-08 14:43:12,这文章TM是谁写的？,0,wb
614,68,坚忍的豆芽,浙江温州,112.14.77.10,2018-08-08 14:42:07,？？？？？？？？？？？,0,wb
615,68,日月木同,上海,112.64.68.42,2018-08-08 14:42:03,别用把自己归于受害者，阳光点不好吗？,0,wb
616,68,冰柜里的可乐被喝完了,上海,117.136.8.153,2018-08-08 14:41:33,从消费主义延伸到P2P，不知道到底是在diss什么[笑cry],1,wb
617,68,花生米米吖,浙江杭州,112.10.196.206,2018-08-08 14:41:26,也是作孽[允悲],0,wb
618,68,樱错雪-,湖北武汉,27.17.215.205,2018-08-08 14:41:25,？？？年轻人带领？？？不背这口锅,1,wb
619,68,O_oInkMore,上海,210.22.164.242,2018-08-08 14:40:49,有的年轻人存钱 有的不存钱但是用钱去买经历买体验 有的就是单纯的虚荣虚伪拜金拜颜把钱花在哪很重要 扛风险的能力也很重要,0,wb
620,69,荒年与歌i,安徽合肥,117.136.101.124,2018-08-08 14:39:13,我他妈躺着也背锅？,1,wb
621,69,无西瓜籽_,江苏常州,58.241.94.38,2018-08-08 14:39:12,原来都是星巴克的错 懂了[赞],0,wb
622,69,烟雨平生-谁怕,陕西西安,113.200.72.14,2018-08-08 14:39:04,啥意思？？年轻人靠借贷满足对美好生活的向往？？避重就轻了吧～,0,wb
623,69,小迷弟努力飞,山东临沂,120.220.28.6,2018-08-08 14:39:00,生孩子，生孩子，生孩子,0,wb
624,69,热心网友茶某,浙江台州,60.162.93.86,2018-08-08 14:38:38,笑死了 人在家中坐 锅从天上来,0,wb
625,69,H-N126,四川绵阳,110.186.125.250,2018-08-08 14:38:20,除了星巴克 其他的我都没有[失望]不配做年轻人了,0,wb
626,69,Orchid一Moon,北京,61.148.243.1,2018-08-08 14:38:09,大企业没不借贷的吧，一个大企业50%的负债率就相当于多少屌丝一辈子借的钱了，怎么好意思发这种东西？看着自己的信用卡额度问问自己能借多少钱[笑cry]打出这行字不心酸么,0,wb
627,69,七月的清然,河南,117.136.61.120,2018-08-08 14:37:37,省钱当接盘侠啊？,0,wb
628,69,齐齐在东北玩泥巴,上海,223.104.5.249,2018-08-08 14:37:28,没事，我们已经是青年人了，没看报道里说的是千禧世代吗,0,wb
629,69,罗汉仙娃z,上海,58.35.208.64,2018-08-08 14:36:33,老婆别生气,0,wb
630,70,轻轻达么,黑龙江哈尔滨,1.58.79.81,2018-08-08 14:35:10,呵呵,0,wb
631,70,我又不会撩人,海南三亚,223.104.23.203,2018-08-08 14:33:20,对不起，拖您后腿了[泪],0,wb
632,70,满堂飘花醉看三千客,福建福州,140.243.36.67,2018-08-08 14:32:21,搞得好像老一代不借贷过日子一样,0,wb
633,70,Leon大苏妲己,北京,124.65.148.182,2018-08-08 14:31:57,刚刚看了一篇什么少年娘则国娘的文章，娘炮也在带领国家走向危机，笑死我了。,1,wb
634,70,ButyricModo,山东临沂,223.104.185.167,2018-08-08 14:31:52,别这么说自己[允悲],1,wb
635,70,今天也依然喜欢居老师,重庆,123.147.248.41,2018-08-08 14:31:29,[费解]被油腻中年diss垮掉的一代现在又说带领危机的了,0,wb
636,70,枫言芳菲,江苏苏州,221.224.122.162,2018-08-08 14:30:37,说话那么直白干嘛！,0,wb
637,70,王晓旭MusiX,北京,1.203.64.132,2018-08-08 14:30:33,对不起，这个锅真没法背....,0,wb
638,70,熬夜晚睡专家,云南昆明,39.130.117.251,2018-08-08 14:30:03,怪我们娇生惯养,0,wb
639,70,黎嗯娜,四川成都,218.89.235.123,2018-08-08 14:29:54,九零后不需要买房。父母早就把房子准备好了。所以他们只需要消费消费就够了,0,wb
640,71,KICKurASasshole,广东广州,59.42.36.169,2018-08-08 14:29:37,好多人没有看文章……,0,wb
641,71,咕_咕咕咕哒,河南,117.136.61.69,2018-08-08 14:29:24,一条不中，我怀疑我到底是不是90后[黑线],0,wb
642,71,Evandayer,四川成都,117.136.82.244,2018-08-08 14:29:23,可笑,0,wb
643,71,区块创投仝春,浙江湖州,115.231.19.244,2018-08-08 14:24:11,年轻人都应该去买房就行了。[允悲],0,wb
644,71,嶌与海,河南开封,61.158.147.193,2018-08-08 14:23:38,这个锅我们不背！辛辛苦苦赚来的钱 一没偷二没抢三也没做违法的事情 凭自己劳动换来的钱不能偶尔犒劳一下自己去个星巴克照照相发发自拍了？,0,wb
645,71,武啦啦-nana,北京,106.11.41.206,2018-08-08 14:23:04,要脸会死系列········,0,wb
646,71,鲁提辖拳打镇关西628,江苏泰州,117.136.66.170,2018-08-08 14:22:54,打击一大片嘛,0,wb
647,71,-Pigeon,云南,117.136.72.230,2018-08-08 14:21:32,嚯，当头一个平底锅,0,wb
648,71,用户957zwswd,浙江嘉兴,122.238.190.216,2018-08-08 14:21:26,这是什么沙雕,0,wb
649,71,俊智王,江西萍乡,117.170.240.254,2018-08-08 14:21:26,幸福是奋斗出来的，年纪轻轻不去奋斗买房买车，就知道吃喝玩乐，搞资产阶级自由化，搞享乐主义。,0,wb
650,72,姗妹·,安徽马鞍山,36.33.154.84,2018-08-08 14:20:49,呸 我买不起房还不让买包吗@皮卡丘究极进化,1,wb
651,72,SmakCheng,浙江杭州,60.176.151.21,2018-08-08 14:20:00,我感觉出家是条好出路！能干的事更多[doge],0,wb
652,72,蓝国之恋冰咖啡,山东泰安,113.121.142.197,2018-08-08 14:19:45,高级黑,0,wb
653,72,Erebus_Chaos,江苏苏州,114.219.26.110,2018-08-08 14:19:33,你怎么能说出这么不要脸的话[允悲]我服了你,1,wb
654,72,微笑的零,广东深圳,116.25.98.95,2018-08-08 14:19:24,牛逼,0,wb
655,72,国士无双三师公,四川成都,223.104.9.191,2018-08-08 14:19:21,天灾飞锅！怎么都躲不掉,0,wb
656,72,-北坡,黑龙江哈尔滨,113.5.4.149,2018-08-08 14:19:18,有点看不懂…迷…,0,wb
657,72,没有现充的欧阳666,美国乔治亚,73.43.63.252,2018-08-08 14:19:18,？？？年轻人背锅？,0,wb
658,72,黑奇士司马子羽,北京海淀,113.45.55.207,2018-08-08 14:19:06,。。。,0,wb
659,72,舞庭前百长弓年少,北京,106.121.1.127,2018-08-08 14:18:32,评论都已经很到位了，不赘述。透支了大家一起死，不透支别人就去享乐了,0,wb
660,73,创领潮流,广东广州,120.85.101.226,2018-08-08 14:18:24,我没买房也没睡天桥啊,0,wb
661,73,花花花花花花花一朵,浙江杭州,125.118.4.181,2018-08-08 14:17:42,人在公司坐，锅从天上来,0,wb
662,73,瘦不到90不改网名,湖南长沙,119.39.248.82,2018-08-08 14:17:20,@一位心态巨好的朋友 喵喵喵？,1,wb
663,73,亲爱的one,江苏南通,49.79.14.136,2018-08-08 14:16:46,我要是月薪每个月10w还需要借贷？？？还延长退休年龄，怕不是想累死我们这一代,0,wb
664,73,山月相依任琦行,湖南衡阳,124.228.170.223,2018-08-08 14:15:35,哇哦,0,wb
665,73,马猴少年喝烧酒,四川成都,101.206.169.50,2018-08-08 14:15:31,人身攻击我，举报了,0,wb
666,73,才要厉害了,上海,116.226.68.98,2018-08-08 14:15:01,扯犊子,0,wb
667,73,前置前驱,加拿大不列颠哥伦比亚,24.68.249.216,2018-08-08 14:14:30,我买不起房子还不让我买手机衣服？[费解][费解],0,wb
668,73,B-F大笑,河南郑州,171.8.72.180,2018-08-08 14:14:29,哈哈哈哈哈哈哈,0,wb
669,73,国际知名打哏表演艺术家,天津塘沽,220.115.233.36,2018-08-08 14:14:28,为了国家，不生孩子了，省的他们出来祸害祖国。,0,wb
670,75,声控癌晚期的米优酱,浙江台州,60.162.223.101,2018-08-08 14:09:51,？？咱俩又不借钱？？你要买什么大物件吗？？,1,wb
671,75,杨记粮铺,广东深圳,116.24.36.55,2018-08-08 14:08:28,搞笑了，居然认为贷款拿来消费，这么高的贷款难道不是因为都在房贷上吗？编辑真是搞笑了,1,pc
672,75,鲨鱼丸丸,上海,101.81.220.91,2018-08-08 14:07:34,哈哈哈，我笑了,0,wb
673,75,HomeAnimator,辽宁沈阳,116.2.215.230,2018-08-08 14:06:30,我觉得，义务教材也应该有常见灾害的识别及避险方法。,0,wb
674,75,懒-图图,浙江杭州,60.186.206.204,2018-08-08 14:06:17,买房不用贷款嘛？买房才是真的靠借贷过活吧。现在有多少钱消费多少，不是才是真的脚踏实地嘛[摊手],0,wb
675,75,废崔_deadpool,四川成都,118.114.250.16,2018-08-08 14:05:55,我也记得读书的时候老师还教我们要学国外提前消费懂得享受生活blahblah的…突然翻脸不认人[允悲],1,wb
676,75,大西瓜爱吃橙,广东深圳,117.136.40.181,2018-08-08 14:05:41,不是学区划分，哪里需要再买房，我和老公住着公公给的接近一亩小院养着狗多开心。暂时不考虑生娃买房，一年出去旅行几次，想做饭了做饭，不想做饭就出去吃。买美美的衣服喜欢的包，两口子开开心心的，并不想买房,2,wb
677,75,CIRCLE-ho,广东东莞,112.97.217.2,2018-08-08 14:05:15,没有全款提房的能力下我还是先全款买件Gucci背着叭[作揖]告辞。,0,wb
678,75,饼哥哥要吃饼,广东佛山,119.126.168.212,2018-08-08 14:05:13,把年轻人都灭了，就是你们的绝代天下了，加油，创建一个没有后代的国家吧，相信自己，你们可以的！[二哈],1,wb
679,75,汉和1644,陕西西安,36.46.23.91,2018-08-08 14:04:47,恰恰相反,0,wb
680,76,ssssss温温,陕西西安,1.83.1.130,2018-08-08 14:04:43,拉动内需的时候就鼓吹消费主义，需要人买房的时候就怪年轻人太爱花钱不攒钱买房，啥话都让你说完了[摊手],0,wb
681,76,本命钩子大金毛,广东佛山,117.136.31.121,2018-08-08 14:04:02,mdzz？[费解],0,wb
682,76,马列主义在治疗脑残中的应用,浙江杭州,58.101.42.50,2018-08-08 14:04:02,没用最新款的智能手机 对不起,0,wb
683,76,klyommoon,江苏苏州,223.104.145.147,2018-08-08 14:03:58,大学生不赚钱还借高利贷进行高消费从任何角度来看都很可耻。但是有工作自己赚钱的社会人要怎么花钱，关国家屁事，是没给你交税还是怎么了。,2,wb
684,76,RainainLooop,重庆,119.85.26.76,2018-08-08 14:03:24,人在家中坐 锅从天上来[費解],0,wb
685,76,今天我说一点,美国伊利诺伊州,73.36.166.22,2018-08-08 14:03:23,为国背锅，光荣！,0,wb
686,76,羊洋洋漾,广东东莞,14.24.37.84,2018-08-08 14:03:09,人在家中坐，锅从天上来[跪了],0,wb
687,76,歌唱新时代,陕西西安,113.139.213.15,2018-08-08 14:03:05,标题不对，是某些有钱人有权人有势人带领的，年轻人只是带领了创新而已。,0,wb
688,76,光辉你是我唯一想要的船,新疆石河子,223.114.221.216,2018-08-08 14:02:59,对不起我们应该馒头咸菜省钱买房,0,wb
689,76,-不夙-,河北邯郸,221.193.152.11,2018-08-08 14:02:20,没抓住重点，0分[doge],0,wb
690,77,dingZS_552,福建泉州,110.84.65.38,2018-08-08 14:02:20,你这意思是贩毒的无罪，吸毒的背锅咯？十年前信用卡怎么发的呢，还给没经济收入的学生办信用卡，后来更过分了，各种贷？没人管？都死了？管制不严格韭菜收完了就一脚蹬了是吧,0,wb
691,77,大西瓜爱吃橙,广东深圳,117.136.40.181,2018-08-08 14:02:13,不是因为什么学区政策，会需要再买房？好了，现在娃也不想生，反正买不起。不买房的日子，一年旅游两三次，爱做饭了做饭，不想做饭出去吃，兴高采烈开开心心,0,wb
692,77,蹦扯扯蹦扯蹦扯扯扯扯,四川成都,210.41.97.254,2018-08-08 14:01:59,我也,0,wb
693,77,子归臾桑,山西太原,218.26.54.86,2018-08-08 14:01:59,迟早的事...我觉得他扣迟了，扣早点还能再忽悠一波人,0,wb
694,77,Chester_SSS,云南昆明,39.130.51.10,2018-08-08 14:01:56,全他妈怪年轻人咯？,0,wb
695,77,丶大大大大大大大大大哥别杀我,安徽合肥,220.180.229.131,2018-08-08 14:01:54,不要脸吼,0,wb
696,77,柠檬树爵士,香港,63.221.157.162,2018-08-08 14:01:47,抱歉，给国家添麻烦了,0,wb
697,77,纯阳宫老严修身养仙儿,广东广州,112.96.192.238,2018-08-08 14:01:36,这帮砖家血者可以死绝了[微笑],1,wb
698,77,比特币永远涨,广东广州,59.41.23.234,2018-08-08 14:01:28,我到现在用的还是黑白屏的诺基亚，穿的是某宝20块包邮纯棉T，最多只喝瓶三块钱的冰阔落，所以这锅我到底该不该接[二哈],0,wb
699,77,新高压锅,山东青岛,182.40.43.68,2018-08-08 14:01:12,可找着原因了，原来是年轻人搞的鬼。,0,wb
700,78,优秀党员田佳凉子,山西太原,183.202.2.164,2018-08-08 14:01:00,算了一下不吃不喝五十年买房而且要无病无灾,0,wb
701,78,相葉木子鱼,湖南邵阳,61.240.239.178,2018-08-08 14:00:57,我不是茅坑[允悲][允悲],0,wb
702,78,Satan探戈,安徽合肥,36.60.223.126,2018-08-08 14:00:54,？？？不要脸,0,wb
703,78,-Bruh,浙江杭州,182.49.51.92,2018-08-08 14:00:52,gnps,1,wb
704,78,写丘与山,福建福州,220.113.189.131,2018-08-08 14:00:50,这小编别是个傻子吧,0,wb
705,78,-这个手刹不太灵-,江苏南京,58.240.26.94,2018-08-08 14:00:49,确定是中国年轻人带领？？？？无力吐槽,0,wb
706,78,侯雁濒,河北石家庄,223.104.13.250,2018-08-08 14:00:47,想当韭菜，交不起房贷！[吃惊][吃惊][吃惊],0,wb
707,78,Purple_Gx,广东深圳,183.47.44.228,2018-08-08 14:00:47,等这些老不死的都死光了 你看看中国发展如何,1,wb
708,78,马乐隔壁大烧饼,浙江杭州,112.10.210.203,2018-08-08 14:00:40,年轻人不好骗吗？说的也没错啊。钱不够花就借，还不了就怪借贷公司催，文章里也没有说要你存钱买房吧？,0,wb
709,78,Sir_sen,重庆,223.104.249.250,2018-08-08 14:00:14,哦，做韭菜真难,0,wb
710,79,Heiyaohua,广西北海,180.137.113.230,2018-08-08 13:59:54,四海为家[吃瓜],0,wb
711,79,TurntoC,江苏苏州,223.104.146.60,2018-08-08 13:58:55,[微笑]说到家庭负债率，这一大部分是房贷吧,0,wb
712,79,就酱啊w,江西南昌,118.212.211.240,2018-08-08 13:58:36,那就如他们所愿，让中国再无年轻人就是了，这样国家就不会有危机了。,28,wb
